Min,Max,Result
1,1,You call that a crit? Roll damage as normal.
2,3,Dazzled! Roll damage as normal and the creature cannot willingly move closer to you until the end of its next turn.
4,6,"Good hit! Do not roll your damage dice, instead deal the maximum result possible with those dice."
7,8,Disheartening blast! Roll your damage as normal and the creature is frightened until the end of its next turn.
9,11,Great hit! Roll twice as many damage dice as normal.
12,13,Awed! Roll twice as many damage dice as normal and the creature is frightened until the end of its next turn.
14,16,"Holy terror! Roll twice as many damage dice as normal and roll on the minor injury chart. Additionally, the creature is frightened for the next minute. It can make a Wisdom saving throw (DC 16) at the end of each of its turns to end this effect."
17,18,"Righteous mark! Deal the maximum amount of damage for your normal damage dice then roll your damage dice and add that result, then roll on the minor injury chart. Additionally, the creature glows for the next minute. While glowing it produces bright light up 10 feet and dim light up to 30 feet and all successful attacks against the creature deal an additional 1d4 radiant damage."
19,19,Wrath of the gods! Deal twice the maximum result of your damage dice and roll on the major injury chart.
20,20,"Smote! Deal twice the maximum result of your damage dice and roll on the major injury chart. Additionally, the creature glows for the next minute. While glowing it produces bright light up 10 feet and dim light up to 30 feet and all successful attacks against the creature deal an additional 1d6 radiant damage."
