Min,Max,Result
1,1,You call that a crit? Roll damage as normal.
2,3,Boom! Roll damage as normal and the creature is deafened until the end of its next turn.
4,6,"Good hit! Do not roll your damage dice, instead deal the maximum result possible with those dice."
7,8,Ka-boom! Roll your damage as normal and the creature is deafened for one minute.
9,11,Great hit! Roll twice as many damage dice as normal.
12,13,Thunder clap! Roll twice as many damage dice as normal and the creature is stunned until the start of its next turn and deafened for one minute.
14,16,Burst ear drums! Roll twice as many damage dice as normal and the creature is deafened permanently. Then roll on the minor injury chart.
17,18,Concussive blast! Deal the maximum amount of damage from your normal damage dice then roll your damage dice and add that result. The creature stunned until the end of its next turn and deafened permanently. Then roll on the minor injury chart.
19,19,Wall of sound! Deal twice the maximum result of your damage dice and roll on the major injury chart.
20,20,"Sonic salvo! Deal twice the maximum result of your damage dice, the creature is deafened permanently, and stunned until the end of its next round. Then roll on the major injury chart."
